name,metal,date_added,url,rating,edition,authors,artists,pages,price,ratings_count,setting
Ghosts of Dragonspear Castle (D&D Next),Adamantine seller,12/3/2013,https://www.dmsguild.com/product/123270/Ghosts-of-Dragonspear-Castle-DD-Next?filters=45471_0_0_0_0_0_0_0,4.5,5th Edition,"['Greg Bilsland', 'Bruce R. Cordell', 'Jeremy Crawford']","['Dave Allsop', 'Kalman Andrasofszky', 'Steve Argyle']",292,17.99,68,Forgotten Realms
Player's Handbook (3.5),Mithral seller,4/28/2015,https://www.dmsguild.com/product/148008/Players-Handbook-35?filters=45471_0_0_0_0_0_0_0,4.7,3rd Edition (d20 System),"['Peter Adkison', 'Richard Baker', 'Andy Collins', 'Monte Cook']","['Matt Adelsperger', 'Craig Cudnohufsky', 'Scott Fischer', 'Sherry Floyd']",320,9.99,45,No Setting
Confrontation at Candlekeep (5e),Platinum seller,10/6/2015,https://www.dmsguild.com/product/158952/Confrontation-at-Candlekeep-5e?filters=45471_0_0_0_0_0_0_0,4.3,5th Edition,"['Teos Abadia', 'Greg Bilsland', 'Shawn Merwin']",[],,4.99,26,Forgotten Realms
Murder in Baldur's Gate (5e),Mithral seller,10/13/2015,https://www.dmsguild.com/product/160318/Murder-in-Baldurs-Gate-5e?filters=45471_0_0_0_0_0_0_0,4.5,3rd Edition (d20 System),"['Greg Bilsland', 'Matthew Sernett', 'Steve Winter']","['Jason Engle', 'Kate Irwin', 'Tyler Jacobson', 'Mike Schley', 'Emi Tanji']",96,17.99,41,Forgotten Realms
Player's Handbook (4e),Mithral seller,10/20/2015,https://www.dmsguild.com/product/161671/Players-Handbook-4e?filters=45471_0_0_0_0_0_0_0,4.7,4th Edition,"['Richard Baker', 'Greg Bilsland', 'Logan Bonner', 'Bart Carroll', 'Michele Carter', 'Jennifer Clarke-Wilkes', 'Andy Collins', 'Bruce R. Cordell']","['Rob Alexander', 'Dave Allsop', 'Zoltan Boros', 'Christopher Burdett', 'Matt Cavotta', 'Leon Cortez', 'Eric Deschamps', 'Wayne England']",320,9.99,29,No Setting
Neverwinter Campaign Setting (4e),Mithral seller,11/3/2015,https://www.dmsguild.com/product/163174/Neverwinter-Campaign-Setting-4e?filters=45471_0_0_0_0_0_0_0,4.5,4th Edition,"['Jeremy Crawford', 'Erik Scott de Bie', 'Ari Marmell', 'Stephen Schubert']","['Dave Allsop', 'Scott Altmann', 'Steve Argyle', 'Zoltan Boros']",224,14.99,30,Forgotten Realms
Legacy of the Crystal Shard (Next),Platinum seller,11/17/2015,https://www.dmsguild.com/product/166079/Legacy-of-the-Crystal-Shard-Next?filters=45471_0_0_0_0_0_0_0,4.7,5th Edition,"['Jeffrey Ludwig', 'R. A. Salvatore', 'Matthew Sernett', 'James Wyatt']","['Eric Belisle', 'Sam Carr', 'Crut', 'Tyler Jacobson']",96,14.99,30,Forgotten Realms
Ed Greenwood Presents Elminster's Forgotten Realms,Mithral seller,11/24/2015,https://www.dmsguild.com/product/166568/Ed-Greenwood-Presents-Elminsters-Forgotten-Realms?filters=45471_0_0_0_0_0_0_0,4.7,4th Edition,['Ed Greenwood'],"['Eric Belisle', 'Julie Dillon', 'Rick Drennan', 'Jasper Ejsing']",160,14.99,54,Forgotten Realms
Volo's Guide to Waterdeep (2e),Platinum seller,12/24/2013,https://www.dmsguild.com/product/16836/Volos-Guide-to-Waterdeep-2e?filters=45471_0_0_0_0_0_0_0,4.5,2nd Edition,['Ed Greenwood'],"['Robh Ruppel', 'Valerie Valusek']",240,9.99,32,Forgotten Realms
Monstrous Manual (2e),Adamantine seller,8/25/2015,https://www.dmsguild.com/product/16865/Monstrous-Manual-2e?filters=45471_0_0_0_0_0_0_0,4.7,2nd Edition,['Tim Beach'],[],384,24.99,134,No Setting
"Player's Handbook, Revised (2e)",Adamantine seller,8/18/2015,https://www.dmsguild.com/product/16868/Players-Handbook-Revised-2e?filters=45471_0_0_0_0_0_0_0,4.7,2nd Edition,['Dave Cook'],[],320,9.99,157,No Setting
A0-A4: Against the Slave Lords (1e),Mithral seller,1/5/2016,https://www.dmsguild.com/product/169626/A0A4-Against-the-Slave-Lords-1e?filters=45471_0_0_0_0_0_0_0,4.8,1st Edition,"['David ""Zeb"" Cook', 'Allen Hammack', 'Harold Johnson', 'Tom Moldvay']","['Jeff Dee', 'Kim Feigenbaum', 'Dave LaForce', 'Rich Longmore']",176,9.99,69,Greyhawk
Monster Manual (1e),Adamantine seller,7/14/2015,https://www.dmsguild.com/product/17002/Monster-Manual-1e?filters=45471_0_0_0_0_0_0_0,4.8,1st Edition,['Gary Gygax'],"['David C. Sutherland III', 'Dave Trampier', 'Tom Wham', 'Jean Wells']",112,9.99,147,No Setting
Players Handbook (1e),Adamantine seller,7/7/2015,https://www.dmsguild.com/product/17003/Players-Handbook-1e?filters=45471_0_0_0_0_0_0_0,4.8,1st Edition,['Gary Gygax'],"['Dave Trampier', 'Dave C. Sutherland III']",128,9.99,193,No Setting
Dungeon Master's Guide (1e),Adamantine seller,7/21/2015,https://www.dmsguild.com/product/17004/Dungeon-Masters-Guide-1e?filters=45471_0_0_0_0_0_0_0,4.7,1st Edition,['Gary Gygax'],"['David C. Sutherland III', 'Dave Trampier', 'Darlene Pekul', 'Will McLean', 'David S. La Force']",240,9.99,208,No Setting
Unearthed Arcana (1e),Mithral seller,1/12/2016,https://www.dmsguild.com/product/170096/Unearthed-Arcana-1e?filters=45471_0_0_0_0_0_0_0,4.8,1st Edition,['Gary Gygax'],"['Jeff Easley', 'James Holloway', 'Roger Raupp', 'Jim Roslof', 'Timothy Truman']",128,9.99,83,No Setting
G1-3 Against the Giants (1e),Adamantine seller,1/22/2013,https://www.dmsguild.com/product/17037/G13-Against-the-Giants-1e?filters=45471_0_0_0_0_0_0_0,4.6,1st Edition,['Gary Gygax'],"['David C. Sutherland III', 'David A. Trampier', 'Jeff Dee', 'David S. LaForce', 'Erol Otis', 'Bill Willingham']",32,4.99,82,Greyhawk
D1-2 Descent into the Depths of the Earth (1e),Adamantine seller,1/22/2013,https://www.dmsguild.com/product/17041/D12-Descent-into-the-Depths-of-the-Earth-1e?filters=45471_0_0_0_0_0_0_0,4.6,1st Edition,['Gary Gygax'],"['David C. Sutherland III', 'David A. Trampier', 'Jim Roslof', 'Jeff Dee', 'Erol Otus', 'David S. LaForce', 'Bill Willingham']",28,6.99,55,Greyhawk
